Running patient: adult#002
Action space: Box(-1.0, 1.0, (1,), float32)
Action space: Box(-1.0, 1.0, (1,), float32)
Using cpu device
Logging to teacher_models/strict/adult-002/logs/ppo_simglucose_1
---------------------------------
| rollout/           |          |
|    loss                 | 1.84e+13     |
|    n_updates            | 40           |
|    policy_gradient_loss | -6.28e-08    |
|    std                  | 1            |
|    value_loss           | 3.86e+13     |
------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 68.3      |
|    ep_rew_mean          | -2.01e+07 |
| time/                   |           |
|    fps                  | 144       |
|    iterations           | 6         |
|    time_elapsed         | 19        |
|    total_timesteps      | 2880      |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 2.38e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 1.56e+13  |
|    n_updates            | 50        |
|    policy_gradient_loss | -3.1e-08  |
|    std                  | 1         |
|    value_loss           | 3.35e+13  |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 67.4      |
|    ep_rew_mean          | -1.95e+07 |
| time/                   |           |
|    fps                  | 144       |
|    iterations           | 7         |
|    time_elapsed         | 23        |
|    total_timesteps      | 3360      |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 3.58e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 2.22e+13  |
|    n_updates            | 60        |
|    policy_gradient_loss | 7.61e-09  |
|    std                  | 1         |
|    value_loss           | 4.54e+13  |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 67.4      |
|    ep_rew_mean          | -1.96e+07 |
| time/                   |           |
|    fps                  | 145       |
|    iterations           | 8         |
|    time_elapsed         | 26        |
|    total_timesteps      | 3840      |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 5.36e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 1.28e+13  |
|    n_updates            | 70        |
|    policy_gradient_loss | -8.73e-09 |
|    std                  | 1         |
|    value_loss           | 2.77e+13  |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 67.9      |
|    ep_rew_mean          | -1.99e+07 |
| time/                   |           |
|    fps                  | 144       |
|    iterations           | 9         |
|    time_elapsed         | 29        |
|    total_timesteps      | 4320      |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 3.58e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 1.87e+13  |
|    n_updates            | 80        |
|    policy_gradient_loss | -1.88e-08 |
|    std                  | 1         |
|    value_loss           | 3.79e+13  |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 67.9      |
|    ep_rew_mean          | -1.99e+07 |
| time/                   |           |
|    fps                  | 144       |
|    iterations           | 10        |
|    time_elapsed         | 33        |
|    total_timesteps      | 4800      |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 5.36e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 2.04e+13  |
|    n_updates            | 90        |
|    policy_gradient_loss | 6.58e-10  |
|    std                  | 1         |
|    value_loss           | 4.06e+13  |
---------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 68             |
|    ep_rew_mean          | -2e+07         |
| time/                   |                |
|    fps                  | 143            |
|    iterations           | 11             |
|    time_elapsed         | 36             |
|    total_timesteps      | 5280           |
| train/                  |                |
|    approx_kl            | -3.7252906e-10 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 2.98e-07       |
|    learning_rate        | 0.0003         |
|    loss                 | 1.75e+13       |
|    n_updates            | 100            |
|    policy_gradient_loss | -2.32e-08      |
|    std                  | 1              |
|    value_loss           | 3.86e+13       |
--------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 68.2      |
|    ep_rew_mean          | -2.01e+07 |
| time/                   |           |
|    fps                  | 142       |
|    iterations           | 12        |
|    time_elapsed         | 40        |
|    total_timesteps      | 5760      |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 3.58e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 2.13e+13  |
|    n_updates            | 110       |
|    policy_gradient_loss | 1.26e-08  |
|    std                  | 1         |
|    value_loss           | 3.99e+13  |
---------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 68.4          |
|    ep_rew_mean          | -2.02e+07     |
| time/                   |               |
|    fps                  | 143           |
|    iterations           | 13            |
|    time_elapsed         | 43            |
|    total_timesteps      | 6240          |
| train/                  |               |
|    approx_kl            | -2.483527e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 4.17e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.06e+13      |
|    n_updates            | 120           |
|    policy_gradient_loss | -4.59e-09     |
|    std                  | 1             |
|    value_loss           | 4.21e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 68.1          |
|    ep_rew_mean          | -2e+07        |
| time/                   |               |
|    fps                  | 142           |
|    iterations           | 14            |
|    time_elapsed         | 47            |
|    total_timesteps      | 6720          |
| train/                  |               |
|    approx_kl            | 8.6923446e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 2.38e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.19e+13      |
|    n_updates            | 130           |
|    policy_gradient_loss | -1.07e-07     |
|    std                  | 1             |
|    value_loss           | 4.49e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 67.8          |
|    ep_rew_mean          | -1.98e+07     |
| time/                   |               |
|    fps                  | 142           |
|    iterations           | 15            |
|    time_elapsed         | 50            |
|    total_timesteps      | 7200          |
| train/                  |               |
|    approx_kl            | 1.4901163e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 4.77e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 1.67e+13      |
|    n_updates            | 140           |
|    policy_gradient_loss | -2.83e-09     |
|    std                  | 1             |
|    value_loss           | 3.31e+13      |
-------------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 67.5           |
|    ep_rew_mean          | -1.96e+07      |
| time/                   |                |
|    fps                  | 142            |
|    iterations           | 16             |
|    time_elapsed         | 53             |
|    total_timesteps      | 7680           |
| train/                  |                |
|    approx_kl            | -3.7252906e-10 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 2.98e-07       |
|    learning_rate        | 0.0003         |
|    loss                 | 1.77e+13       |
|    n_updates            | 150            |
|    policy_gradient_loss | -1.55e-08      |
|    std                  | 1              |
|    value_loss           | 3.57e+13       |
--------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 67.7      |
|    ep_rew_mean          | -1.97e+07 |
| time/                   |           |
|    fps                  | 142       |
|    iterations           | 17        |
|    time_elapsed         | 57        |
|    total_timesteps      | 8160      |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 3.58e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 1.81e+13  |
|    n_updates            | 160       |
|    policy_gradient_loss | 1.96e-08  |
|    std                  | 1         |
|    value_loss           | 3.48e+13  |
---------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 67.8          |
|    ep_rew_mean          | -1.98e+07     |
| time/                   |               |
|    fps                  | 142           |
|    iterations           | 18            |
|    time_elapsed         | 60            |
|    total_timesteps      | 8640          |
| train/                  |               |
|    approx_kl            | -2.483527e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 1.79e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 1.82e+13      |
|    n_updates            | 170           |
|    policy_gradient_loss | -1.45e-08     |
|    std                  | 1             |
|    value_loss           | 3.77e+13      |
-------------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 68.2           |
|    ep_rew_mean          | -2e+07         |
| time/                   |                |
|    fps                  | 142            |
|    iterations           | 19             |
|    time_elapsed         | 63             |
|    total_timesteps      | 9120           |
| train/                  |                |
|    approx_kl            | -6.2088173e-10 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 2.38e-07       |
|    learning_rate        | 0.0003         |
|    loss                 | 2.26e+13       |
|    n_updates            | 180            |
|    policy_gradient_loss | -7.92e-08      |
|    std                  | 1              |
|    value_loss           | 4.4e+13        |
--------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 68            |
|    ep_rew_mean          | -1.98e+07     |
| time/                   |               |
|    fps                  | 142           |
|    iterations           | 20            |
|    time_elapsed         | 67            |
|    total_timesteps      | 9600          |
| train/                  |               |
|    approx_kl            | 1.7384689e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 1.79e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.11e+13      |
|    n_updates            | 190           |
|    policy_gradient_loss | -6.23e-08     |
|    std                  | 1             |
|    value_loss           | 4.18e+13      |
-------------------------------------------
Eval num_timesteps=10000, episode_reward=-96001952.00 +/- 0.00
Episode length: 480.00 +/- 0.00
-------------------------------------------
| eval/                   |               |
|    mean_ep_length       | 480           |
|    mean_reward          | -9.6e+07      |
| time/                   |               |
|    total_timesteps      | 10000         |
| train/                  |               |
|    approx_kl            | -2.483527e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 2.38e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 1.79e+13      |
|    n_updates            | 200           |
|    policy_gradient_loss | 1.94e-08      |
|    std                  | 1             |
|    value_loss           | 3.65e+13      |
-------------------------------------------
New best mean reward!
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 68.2     |
|    ep_rew_mean     | -2e+07   |
| time/              |          |
|    fps             | 121      |
|    iterations      | 21       |
|    time_elapsed    | 82       |
|    total_timesteps | 10080    |
---------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 68.4      |
|    ep_rew_mean          | -2.01e+07 |
| time/                   |           |
|    fps                  | 122       |
|    iterations           | 22        |
|    time_elapsed         | 86        |
|    total_timesteps      | 10560     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 2.38e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 1.82e+13  |
|    n_updates            | 210       |
|    policy_gradient_loss | -7.44e-08 |
|    std                  | 1         |
|    value_loss           | 3.58e+13  |
---------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 68.1         |
|    ep_rew_mean          | -1.99e+07    |
| time/                   |              |
|    fps                  | 123          |
|    iterations           | 23           |
|    time_elapsed         | 89           |
|    total_timesteps      | 11040        |
| train/                  |              |
|    approx_kl            | 2.483527e-10 |
|    clip_fraction        | 0            |
|    clip_range           | 0.15         |
|    entropy_loss         | -1.42        |
|    explained_variance   | 2.38e-07     |
|    learning_rate        | 0.0003       |
|    loss                 | 2.08e+13     |
|    n_updates            | 220          |
|    policy_gradient_loss | -3.73e-08    |
|    std                  | 1            |
|    value_loss           | 4.31e+13     |
------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 68        |
|    ep_rew_mean          | -1.98e+07 |
| time/                   |           |
|    fps                  | 123       |
|    iterations           | 24        |
|    time_elapsed         | 92        |
|    total_timesteps      | 11520     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 2.38e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 1.86e+13  |
|    n_updates            | 230       |
|    policy_gradient_loss | -3.76e-08 |
|    std                  | 1         |
|    value_loss           | 3.74e+13  |
---------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 67.9          |
|    ep_rew_mean          | -1.97e+07     |
| time/                   |               |
|    fps                  | 124           |
|    iterations           | 25            |
|    time_elapsed         | 96            |
|    total_timesteps      | 12000         |
| train/                  |               |
|    approx_kl            | 6.2088173e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.56e+13      |
|    n_updates            | 240           |
|    policy_gradient_loss | -1.48e-08     |
|    std                  | 1             |
|    value_loss           | 3.21e+13      |
-------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 67.8      |
|    ep_rew_mean          | -1.96e+07 |
| time/                   |           |
|    fps                  | 125       |
|    iterations           | 26        |
|    time_elapsed         | 99        |
|    total_timesteps      | 12480     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 2.38e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 1.99e+13  |
|    n_updates            | 250       |
|    policy_gradient_loss | -1.72e-08 |
|    std                  | 1         |
|    value_loss           | 3.82e+13  |
---------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 67.4           |
|    ep_rew_mean          | -1.93e+07      |
| time/                   |                |
|    fps                  | 125            |
|    iterations           | 27             |
|    time_elapsed         | 103            |
|    total_timesteps      | 12960          |
| train/                  |                |
|    approx_kl            | -1.2417635e-10 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 1.19e-07       |
|    learning_rate        | 0.0003         |
|    loss                 | 1.95e+13       |
|    n_updates            | 260            |
|    policy_gradient_loss | -4.67e-08      |
|    std                  | 1              |
|    value_loss           | 3.83e+13       |
--------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 67.6          |
|    ep_rew_mean          | -1.95e+07     |
| time/                   |               |
|    fps                  | 126           |
|    iterations           | 28            |
|    time_elapsed         | 106           |
|    total_timesteps      | 13440         |
| train/                  |               |
|    approx_kl            | 1.6142925e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 2.98e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 1.8e+13       |
|    n_updates            | 270           |
|    policy_gradient_loss | -1.8e-07      |
|    std                  | 1             |
|    value_loss           | 3.47e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 67.9          |
|    ep_rew_mean          | -1.98e+07     |
| time/                   |               |
|    fps                  | 126           |
|    iterations           | 29            |
|    time_elapsed         | 109           |
|    total_timesteps      | 13920         |
| train/                  |               |
|    approx_kl            | 1.9868216e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 1.79e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 1.87e+13      |
|    n_updates            | 280           |
|    policy_gradient_loss | -1.03e-08     |
|    std                  | 1             |
|    value_loss           | 3.97e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 68            |
|    ep_rew_mean          | -1.98e+07     |
| time/                   |               |
|    fps                  | 127           |
|    iterations           | 30            |
|    time_elapsed         | 113           |
|    total_timesteps      | 14400         |
| train/                  |               |
|    approx_kl            | 3.3527612e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 5.96e-08      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.06e+13      |
|    n_updates            | 290           |
|    policy_gradient_loss | 6.64e-09      |
|    std                  | 1             |
|    value_loss           | 4.25e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 68.2          |
|    ep_rew_mean          | -2e+07        |
| time/                   |               |
|    fps                  | 127           |
|    iterations           | 31            |
|    time_elapsed         | 116           |
|    total_timesteps      | 14880         |
| train/                  |               |
|    approx_kl            | 2.3593505e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 1.82e+13      |
|    n_updates            | 300           |
|    policy_gradient_loss | -5.7e-08      |
|    std                  | 1             |
|    value_loss           | 3.57e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 67.9          |
|    ep_rew_mean          | -1.97e+07     |
| time/                   |               |
|    fps                  | 128           |
|    iterations           | 32            |
|    time_elapsed         | 119           |
|    total_timesteps      | 15360         |
| train/                  |               |
|    approx_kl            | 1.2417635e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 5.96e-08      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.06e+13      |
|    n_updates            | 310           |
|    policy_gradient_loss | -3.4e-08      |
|    std                  | 1             |
|    value_loss           | 3.81e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 67.5          |
|    ep_rew_mean          | -1.95e+07     |
| time/                   |               |
|    fps                  | 128           |
|    iterations           | 33            |
|    time_elapsed         | 123           |
|    total_timesteps      | 15840         |
| train/                  |               |
|    approx_kl            | 8.6923446e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 1.79e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 1.62e+13      |
|    n_updates            | 320           |
|    policy_gradient_loss | 2.58e-08      |
|    std                  | 1             |
|    value_loss           | 3.29e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 67.8          |
|    ep_rew_mean          | -1.97e+07     |
| time/                   |               |
|    fps                  | 129           |
|    iterations           | 34            |
|    time_elapsed         | 126           |
|    total_timesteps      | 16320         |
| train/                  |               |
|    approx_kl            | 7.4505807e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 1.79e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 1.76e+13      |
|    n_updates            | 330           |
|    policy_gradient_loss | -1.2e-08      |
|    std                  | 1             |
|    value_loss           | 3.63e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 67.9          |
|    ep_rew_mean          | -1.97e+07     |
| time/                   |               |
|    fps                  | 129           |
|    iterations           | 35            |
|    time_elapsed         | 129           |
|    total_timesteps      | 16800         |
| train/                  |               |
|    approx_kl            | 1.4901163e-09 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 5.96e-08      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.3e+13       |
|    n_updates            | 340           |
|    policy_gradient_loss | -1.5e-09      |
|    std                  | 1             |
|    value_loss           | 4.87e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 68.1          |
|    ep_rew_mean          | -1.99e+07     |
| time/                   |               |
|    fps                  | 129           |
|    iterations           | 36            |
|    time_elapsed         | 133           |
|    total_timesteps      | 17280         |
| train/                  |               |
|    approx_kl            | 8.6923446e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 5.96e-08      |
|    learning_rate        | 0.0003        |
|    loss                 | 1.82e+13      |
|    n_updates            | 350           |
|    policy_gradient_loss | -1.86e-08     |
|    std                  | 1             |
|    value_loss           | 3.73e+13      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 67.9          |
|    ep_rew_mean          | -1.98e+07     |
| time/                   |               |
|    fps                  | 129           |
|    iterations           | 37            |
|    time_elapsed         | 136           |
|    total_timesteps      | 17760         |
| train/                  |               |
|    approx_kl            | -2.483527e-10 |
|    clip_fraction        | 0             |
|    clip_range           | 0.15          |
|    entropy_loss         | -1.42         |
|    explained_variance   | 1.79e-07      |
|    learning_rate        | 0.0003        |
|    loss                 | 2.11e+13      |
|    n_updates            | 360           |
|    policy_gradient_loss | 9.49e-09      |
|    std                  | 1             |
|    value_loss           | 4.21e+13      |
-------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 68        |
|    ep_rew_mean          | -1.99e+07 |
| time/                   |           |
|    fps                  | 130       |
|    iterations           | 38        |
|    time_elapsed         | 140       |
|    total_timesteps      | 18240     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 5.96e-08  |
|    learning_rate        | 0.0003    |
|    loss                 | 1.76e+13  |
|    n_updates            | 370       |
|    policy_gradient_loss | -1.9e-08  |
|    std                  | 1         |
|    value_loss           | 3.24e+13  |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 68        |
|    ep_rew_mean          | -1.99e+07 |
| time/                   |           |
|    fps                  | 130       |
|    iterations           | 39        |
|    time_elapsed         | 143       |
|    total_timesteps      | 18720     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 1.19e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 2.04e+13  |
|    n_updates            | 380       |
|    policy_gradient_loss | -1.46e-08 |
|    std                  | 1         |
|    value_loss           | 4.18e+13  |
---------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 67.9           |
|    ep_rew_mean          | -1.98e+07      |
| time/                   |                |
|    fps                  | 130            |
|    iterations           | 40             |
|    time_elapsed         | 146            |
|    total_timesteps      | 19200          |
| train/                  |                |
|    approx_kl            | -3.7252906e-10 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 0              |
|    learning_rate        | 0.0003         |
|    loss                 | 1.93e+13       |
|    n_updates            | 390            |
|    policy_gradient_loss | -1.67e-08      |
|    std                  | 1              |
|    value_loss           | 3.78e+13       |
--------------------------------------------
--------------------------------------------
| rollout/                |                |
|    ep_len_mean          | 67.7           |
|    ep_rew_mean          | -1.97e+07      |
| time/                   |                |
|    fps                  | 130            |
|    iterations           | 41             |
|    time_elapsed         | 150            |
|    total_timesteps      | 19680          |
| train/                  |                |
|    approx_kl            | -3.8494665e-09 |
|    clip_fraction        | 0              |
|    clip_range           | 0.15           |
|    entropy_loss         | -1.42          |
|    explained_variance   | 0              |
|    learning_rate        | 0.0003         |
|    loss                 | 1.63e+13       |
|    n_updates            | 400            |
|    policy_gradient_loss | 1.51e-08       |
|    std                  | 1              |
|    value_loss           | 3.55e+13       |
--------------------------------------------
Eval num_timesteps=20000, episode_reward=-96001952.00 +/- 0.00
Episode length: 480.00 +/- 0.00
---------------------------------------
| eval/                   |           |
|    mean_ep_length       | 480       |
|    mean_reward          | -9.6e+07  |
| time/                   |           |
|    total_timesteps      | 20000     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
|    clip_range           | 0.15      |
|    entropy_loss         | -1.42     |
|    explained_variance   | 1.79e-07  |
|    learning_rate        | 0.0003    |
|    loss                 | 1.62e+13  |
|    n_updates            | 410       |
|    policy_gradient_loss | -6.24e-08 |
|    std                  | 1         |
|    value_loss           | 3.07e+13  |
---------------------------------------
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 67.8      |
|    ep_rew_mean     | -1.98e+07 |
| time/              |           |
|    fps             | 121       |
|    iterations      | 42        |
|    time_elapsed    | 165       |
|    total_timesteps | 20160     |
----------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 67.5      |
|    ep_rew_mean          | -1.95e+07 |
| time/                   |           |
|    fps                  | 122       |
|    iterations           | 43        |
|    time_elapsed         | 169       |
|    total_timesteps      | 20640     |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0         |
